mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.1550718307495118,0.05642671014318869,0.23795933723449708,0.07723329349755292,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8445769811257446,0.8732410812215705,0.8640134959729348,0.8794481910643878,0.890846629434017,0.870425275763731,0.015592425740749562,200,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.6590363025665282,0.22598759950511008,0.4544087886810303,0.1479254749084682,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8506001053516944,0.8673078801375216,0.8704234124088791,0.8879407051282051,0.8906670843950937,0.8733878374842788,0.01466555667936958,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.559221887588501,0.36163769879584784,0.5820318698883057,0.14905829670857193,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8546683443689133,0.8673078801375216,0.8682324443664539,0.8816082202111615,0.8889095512291683,0.8721452880626437,0.011956103265383872,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1082681655883788,0.2562381185144322,0.24995479583740235,0.09247728460029372,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8443596028154852,0.8815321371892082,0.8660020838294832,0.8902222027266693,0.8867159491841491,0.873766395148999,0.016875042327593875,84,0.9958299885205525,0.9963533532502395,0.9989583333333333,0.9963524595292477,0.9973958051693489,0.9969779879605444,0.0011131663010888737
1.859501838684082,0.32214240487477386,0.3841094970703125,0.051028859294897824,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8525776841609077,0.8753833157545217,0.869935334829248,0.8836222578990671,0.8910155166021743,0.8745068218491838,0.0131010075316201,58,0.995831665172391,0.996875,0.9989579168442452,0.997915829902856,0.9963537331301995,0.9971868290099384,0.0011221363127158432
3.6240691184997558,0.20400480257842232,0.6215004444122314,0.14428040683392565,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8504098592425581,0.8753833157545217,0.8660020838294832,0.885634141836892,0.8888907698823765,0.8732640341091663,0.013976802363285414,101,0.9963533409968838,0.9968741817626103,0.9979158374613893,0.997915829902856,0.9968741518571788,0.9971866683961836,0.0006249980905895785
1.489374589920044,0.2150525502799465,0.35448288917541504,0.12310432138302502,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8627521008508477,0.869265026491369,0.8739549305500226,0.8813052862676389,0.8909147627360097,0.8756384213791776,0.009746707376762495,19,0.9802004200406571,0.9791723758211422,0.9786333595343761,0.9791499486571529,0.9807303180305901,0.9795772844167837,0.0007688101880463352
2.3231385231018065,0.10023854193538705,0.6279746055603027,0.17588409866458152,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8545535994837561,0.8668867371751677,0.8736639950579249,0.881619996241308,0.8889744667015312,0.8731397589319375,0.011895148781005827,105,0.9781145204229265,0.980199969740223,0.9760224772411153,0.9802057574942722,0.9807249672445442,0.9790535384286162,0.001760947162841165
2.97375864982605,0.18674437374341696,0.5141368389129639,0.20191553311377036,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8585361838486514,0.8710509367431345,0.869727415168929,0.8772537212227224,0.8889876246690207,0.8731111763304916,0.009973435943862501,106,0.9796737078435973,0.9822916666666667,0.9781340337951736,0.9807328790574281,0.9812565538935613,0.9804177682512855,0.0014201000247395026
0.9426659107208252,0.19172564705975412,0.18990473747253417,0.0337902203210464,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8521652385029308,0.8710599754849899,0.8699478402337919,0.8796825782032012,0.8949709784069202,0.8735653221663668,0.013949548084704258,91,0.9911441771803022,0.9916629428798546,0.9901021000854768,0.9911407888295363,0.993751625177867,0.9915603268306075,0.001207305794425885
