mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9760343074798584,0.06619046483396719,0.032379961013793944,0.0027021008057594256,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.8397897513912035,0.8728199328794531,0.8719591467856701,0.8782350223097719,0.8824227143854693,0.8690453135503136,0.015113118094139448,28,0.9247887328732955,0.9284935311012597,0.9273769284845721,0.923588705085583,0.9253993011896701,0.925929439746876,0.0017737579279727305
0.900672197341919,0.04506587909953377,0.029109954833984375,0.002858653605393162,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.8481803216130783,0.8789926803540188,0.8744395987139794,0.8863590517674941,0.878030457142735,0.8732004219182612,0.013096335487286842,4,0.9215684933802533,0.9284699549919807,0.925636892227809,0.9246770145087342,0.9248735955857498,0.9250451901389054,0.0022059711692503925
1.7258936405181884,0.05459927799347607,0.03303074836730957,0.0011220802989343147,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.8464200798875524,0.864480681488933,0.8765218966486881,0.8820153144876456,0.8784512782612252,0.8695778501548089,0.012991624065211356,23,0.9542306850074186,0.95625,0.9578625085214881,0.9515374278864343,0.9557718105291424,0.9551304863888965,0.0021376746356498964
1.5376944065093994,0.036436384416874995,0.03414902687072754,0.0033115153418421506,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.8645419380187266,0.8660212815431084,0.8721898159599123,0.8797857908629114,0.8698028322034771,0.870468331717627,0.005387389721430349,18,0.9515512698856727,0.959403723263124,0.9542062686278524,0.9499635977241323,0.9495340478479768,0.9529317814697518,0.0036268683140979105
1.886523675918579,0.05052422791472718,0.03153519630432129,0.0011246926826512919,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8544202596018362,0.8726129903083027,0.8737276638484139,0.8819791749110161,0.8807633792251086,0.8727006935789354,0.009862390601146683,7,0.9749979127691565,0.9734884083500106,0.9750344772739461,0.9765785832446772,0.9765862377108806,0.9753371238697343,0.0011598202423946098
1.8009649753570556,0.0345938712018092,0.03133749961853027,0.004516508187636885,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.8524238713767461,0.8664389354591719,0.8761164480395404,0.875521211698251,0.874278155649542,0.8689557244446503,0.008970465449090272,29,0.976568608882594,0.9797190419951342,0.9776792750295644,0.9760646977716796,0.9781319098157049,0.9776327066989354,0.0012802439992494483
3.394898462295532,0.08881339062160773,0.04097514152526856,0.003125497755184879,0.8,0.05,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.8502134563985922,0.8730062728376073,0.8723749279382005,0.8757079607780353,0.8702800399392016,0.8683165315783274,0.009216009719542218,33,0.9968741630931256,0.9984374951865345,0.9968766492674661,0.9963537466266073,0.9968758354094145,0.9970835779166295,0.0007064809507827063
3.2157962799072264,0.0943181867444702,0.04329085350036621,0.006166710396357883,0.8,0.05,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.8522338266237814,0.8679267597148166,0.8635993889466699,0.8713969938391267,0.8783178044674539,0.8666949547183697,0.008688197798705975,39,0.9953137388694108,0.9979166512634727,0.9953162051000155,0.9927149125741775,0.9963549925614872,0.9955233000737127,0.0016966842302426645
3.15208477973938,0.1011084057878931,0.03634719848632813,0.00505145314298839,0.8,0.05,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.8504097260859681,0.8833544649356952,0.8739916174549204,0.8754943815614544,0.874593651342092,0.871568768276026,0.011108899743252373,12,0.9947941462812636,0.9968758163309388,0.9942745240744699,0.9942757521771405,0.996875,0.9954190477727625,0.001204120650855912
3.388341856002808,0.1061518060730471,0.03475480079650879,0.0022823153062628424,0.8,0.05,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.8445769811257446,0.8666433134052168,0.8703583271898052,0.8733511623919789,0.8681294381787803,0.8646118444583053,0.010269311779746776,45,0.9979170757784239,0.9994791650621782,0.9973962331500881,0.9984374948602659,0.9989583349129266,0.9984376607527766,0.0007363983979115675
