mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.362944221496582,0.102812975478005,0.010179948806762696,0.006368525562069664,relu,0.0001,"(32,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.001}",0.8429058051532166,0.8516606151117998,0.8394447927687866,0.866221422209774,0.8460952433851584,0.8492655757257472,0.009382775819802656,13,0.8746480659675814,0.8721611529614737,0.9001761407980159,0.8755702436470647,0.8755781470880438,0.879626750092436,0.010350326809680916
0.5425888061523437,0.14268524942936095,0.008316373825073243,0.003084203638042542,relu,0.0001,"(32,)",0.0005,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.0005}",0.8478327554067658,0.8507423481877627,0.8366986492281304,0.8677434257205212,0.7962368335102475,0.8398508024106857,0.023968521569278554,27,0.8789801191483965,0.8551366045274253,0.884942413255672,0.8543821939202374,0.8393116774890174,0.8625506016681497,0.01692961964455857
0.3847872257232666,0.1467689011501555,0.006903314590454101,0.0005269047059623255,relu,0.0001,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.8484489409799009,0.8461677339802366,0.8203578267380439,0.8726163957570208,0.8258432448083022,0.8426868284527009,0.01856549633406318,23,0.8765474111720015,0.8801310212691839,0.8520134290045682,0.8930804887396587,0.8616260394668578,0.8726796779304541,0.014394108014065607
0.48762993812561034,0.12487424128204319,0.007696008682250977,0.0013088027767892369,relu,0.0001,"(64,)",0.0005,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.8440956764645183,0.8481545412286873,0.820945775413528,0.852232671797332,0.836045545724144,0.8402948421256419,0.011056001912715973,25,0.8701993008073323,0.881320361954949,0.8571242244630158,0.8604906047885662,0.8729122195587504,0.8684093423145228,0.008720488196946652
0.5167036533355713,0.12281334916366303,0.006850004196166992,0.0007731082473317643,relu,0.0001,"(64, 32)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}",0.8500540461193552,0.8631913442460317,0.831043691797968,0.871487487431802,0.8654825240278081,0.856251818724593,0.014417701510493304,3,0.9375107188402162,0.8908379280295677,0.907481935755919,0.8874305408667598,0.9087266211268438,0.9063975489238614,0.01775657067895999
0.9346850395202637,0.38783027669099907,0.010965442657470703,0.003252121616410194,relu,0.0001,"(64, 32)",0.0005,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.0005}",0.8505451101111688,0.8586492682066654,0.8252172538944621,0.8586347159401743,0.8632821945766641,0.8512657085458268,0.01365471648625964,10,0.9277398116328092,0.8966675719806799,0.8950279812361122,0.8503938269179555,0.9097684319347585,0.895919524740463,0.025605727777618183
0.45082316398620603,0.07326661484916064,0.007076072692871094,0.0004592585345263704,relu,0.0001,"(128, 64)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.8319281070174583,0.8709228541053081,0.8395153021437484,0.8686552684702449,0.8526718036898959,0.8527386670853311,0.01543984532729657,6,0.8821625006426399,0.9076070625919577,0.8773459023101353,0.8902528075514845,0.8887967314800799,0.8892330009152595,0.010296907947996115
0.6334729194641113,0.17456233995026157,0.008656454086303712,0.0032748746723333896,relu,0.0001,"(128, 64)",0.0005,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.8443738976410204,0.862387006135532,0.8391719598599511,0.8666861370716511,0.848925334383457,0.8523088670183222,0.010538170088300521,7,0.8802564820401247,0.8849140369621398,0.8748960169974824,0.903201550142127,0.8892742574727869,0.8865084687229322,0.009620677105842561
0.4072281837463379,0.04346124120211071,0.00790410041809082,0.0020380729215351097,relu,0.001,"(32,)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.001}",0.8429058051532166,0.8621880521850236,0.8416906601639393,0.866221422209774,0.8460952433851584,0.8518202366194224,0.010293072438058526,8,0.8746480659675814,0.8881242833602445,0.9001761407980159,0.8755702436470647,0.8755781470880438,0.8828193761721901,0.010011542838404561
0.5639549255371094,0.1993718747237132,0.010052251815795898,0.00377336495499893,relu,0.001,"(32,)",0.0005,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.0005}",0.8478327554067658,0.8507423481877627,0.8366986492281304,0.8677434257205212,0.7962368335102475,0.8398508024106857,0.023968521569278554,27,0.8789801191483965,0.8551366045274253,0.884942413255672,0.8548724951623602,0.8393116774890174,0.8626486619165743,0.01688337917517465
0.4915322780609131,0.0983273518443245,0.00809030532836914,0.0017910500512934942,relu,0.001,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.8484489409799009,0.8461677339802366,0.8203578267380439,0.870651237009689,0.8258432448083022,0.8422937967032345,0.01793792099318348,24,0.8765474111720015,0.8801310212691839,0.8520134290045682,0.8930804887396587,0.8616260394668578,0.8726796779304541,0.014394108014065607
0.6101552963256835,0.15029090819095664,0.006341266632080078,0.0006154337792059921,relu,0.001,"(64,)",0.0005,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.8440956764645183,0.8481545412286873,0.820945775413528,0.852232671797332,0.836045545724144,0.8402948421256419,0.011056001912715973,25,0.8701993008073323,0.881320361954949,0.8571242244630158,0.8604906047885662,0.8729122195587504,0.8684093423145228,0.008720488196946652
0.7688983917236328,0.2494920193191818,0.009105682373046875,0.004339102730421473,relu,0.001,"(64, 32)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}",0.8480868711162335,0.8610201484118611,0.831043691797968,0.871487487431802,0.8654825240278081,0.8554241445571347,0.014413599823193493,4,0.9370517080589809,0.8908379280295677,0.907481935755919,0.8874305408667598,0.9071056351316316,0.9059815495685717,0.017563249544743666
0.9282548427581787,0.4137665443162012,0.006434726715087891,0.00021150248548265475,relu,0.001,"(64, 32)",0.0005,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.0005}",0.8464236732068875,0.8446130017186397,0.8252172538944621,0.8586347159401743,0.861326957549558,0.8472431204619444,0.012812889846606074,18,0.9152362419791997,0.8841029616948849,0.8950279812361122,0.8503938269179555,0.9086873823392286,0.890689678833476,0.02285787604195135
0.5756734371185303,0.15260282602727734,0.013058805465698242,0.007023206282372493,relu,0.001,"(128, 64)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.8365057613066961,0.8730976480607967,0.8395153021437484,0.8666640786749482,0.8526718036898959,0.8536909187752171,0.01443773083974854,5,0.9101385062057381,0.908149046980336,0.8767995961444298,0.9042161608267847,0.8887540917934438,0.8976114803901465,0.012831027610502586
0.697575569152832,0.16911604655632362,0.007137393951416016,0.00041818756333824106,relu,0.001,"(128, 64)",0.0005,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.8443738976410204,0.862387006135532,0.8391719598599511,0.8627226481625259,0.848925334383457,0.8515161692364973,0.009527478561678657,9,0.879262165957968,0.8828211710794788,0.8754472482674226,0.9113225653591641,0.8898177760877192,0.8877341853503505,0.012709324659411051
0.5389405250549316,0.15799184357781226,0.008625078201293945,0.002039038131909845,tanh,0.0001,"(32,)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.001}",0.8328501103268214,0.8703920730797562,0.8079106067598271,0.861795168566002,0.8084268576572681,0.8362749632779349,0.026103798130760632,29,0.8591895079227158,0.869744712122939,0.861375677368919,0.8768252171996757,0.8350917886062513,0.8604453806441003,0.014142304685240581
