mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04454436302185059,0.007665626936567675,0.009276151657104492,0.0037816230914754414,0.01,,l2,lbfgs,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8363366644994754,0.8706214271869553,0.8386639529462455,0.8696060371517028,0.8550376613734755,0.8540531486315709,0.014615543881713497,27,0.8700452323462646,0.8636706432699912,0.873526793990906,0.8650529561701629,0.8671023024817157,0.8678795856518082,0.0035465528885625596
0.06775465011596679,0.015854921298834663,0.007399749755859375,0.001105785774948092,0.01,balanced,l2,lbfgs,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.8363366644994754,0.8728078932080392,0.8409108407514158,0.8676467021242295,0.8550376613734755,0.8545479523913271,0.01430289703970174,25,0.8690564076478042,0.8648043525886334,0.8746743587966208,0.8651025862462386,0.8671023024817157,0.8681480015522027,0.0036046239703938746
0.07060079574584961,0.011132882950449348,0.007950162887573243,0.001337023090574557,0.1,,l2,lbfgs,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8471677169379842,0.8878185218424497,0.8444986559281072,0.8792257069466956,0.8656801785588353,0.8648781560428145,0.01709818422106856,22,0.8836121992666374,0.8759367807123516,0.8872180152585628,0.8769686710212152,0.8778040852380772,0.8803079502993688,0.004363354417855675
0.030825471878051756,0.010148486308397016,0.005838584899902344,0.0005778562743723771,0.1,balanced,l2,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.8452119899451861,0.8878185218424497,0.8425541780201068,0.8814249932383695,0.8656801785588353,0.8645379723209896,0.018358871987289156,23,0.8821206591878936,0.8750414730898598,0.8877635071944091,0.8769686710212152,0.8783522137657802,0.8800493048518316,0.004499960632642423
0.03569645881652832,0.0027193999403331663,0.005645036697387695,0.0006205354210562677,1.0,,l2,lbfgs,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8609302776346717,0.8897936996963355,0.8550562148519649,0.8768250202445586,0.8762493987493988,0.8717709222353859,0.012388076398312875,18,0.8937963851713716,0.8839383952282702,0.893352525062084,0.8812811525718828,0.8836744137174054,0.8872085743502028,0.0052814027222239926
0.041806936264038086,0.0028530268031818273,0.007845544815063476,0.00305571068970396,1.0,balanced,l2,lbfgs,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.8609302776346717,0.8897936996963355,0.8572958553088552,0.8768250202445586,0.8762493987493988,0.872218850326764,0.011802246447105817,17,0.8943402618227511,0.8844787925742518,0.892402611419458,0.8839942714558736,0.8831802610222302,0.8876792396589129,0.00470621117307567
0.053676939010620116,0.007363592031799876,0.005545616149902344,0.00033643570012985475,10.0,,l2,lbfgs,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8607041775995755,0.8919997744662876,0.8569953055173652,0.8854261048746199,0.8882191393429564,0.8766689003601609,0.014744863913827663,5,0.9000844521977913,0.8844945264288953,0.8969966857409212,0.8819624530633544,0.8842633919101606,0.8895603018682244,0.007449888423709964
0.07630538940429688,0.018758859524509192,0.006148767471313476,0.0010784142191094918,10.0,balanced,l2,lbfgs,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.8607041775995755,0.8919997744662876,0.8636555850686262,0.8854261048746199,0.8882191393429564,0.8780009562704132,0.013118530674467416,1,0.9006261353930992,0.8861236435232733,0.8970366070347071,0.8809682430158768,0.8853108020169215,0.8900130861967757,0.007496867174894606
0.06836495399475098,0.02125777329896268,0.009366893768310547,0.006241294757465738,100.0,,l2,lbfgs,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8611415048649882,0.8899478641506725,0.8592147423114633,0.8834349120082815,0.8840579087994089,0.8755593864269627,0.012777321917366894,11,0.9005772259343575,0.8859875824752429,0.8969966857409212,0.8830089414600193,0.8879350086877141,0.890901088859651,0.006723244710419968
0.07710118293762207,0.019083377790633422,0.008730649948120117,0.005627203328900926,100.0,balanced,l2,lbfgs,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.8611415048649882,0.88797649657173,0.8592147423114633,0.8834349120082815,0.8840579087994089,0.8751651129111743,0.012350537251597194,12,0.9006164120687035,0.8870729067685387,0.8965400130730538,0.8825150984644432,0.8874397158843169,0.8908368292518112,0.006680198212036204
0.09360647201538086,0.017121792174914118,0.007443904876708984,0.0020756461167932188,0.01,,l1,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.8238815115673856,0.849355738612934,0.8235935959829026,0.8440488966773053,0.8155284208545078,0.831281632739007,0.013051495843832707,30,0.8414307555531195,0.8307812831104289,0.8413517958687179,0.8338696440215955,0.8383662407676106,0.8371599438642946,0.004213786752912722
0.035156869888305665,0.002319287579786783,0.005129623413085938,0.0006452256844494627,0.01,,l2,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.8363366644994754,0.8706214271869553,0.8386639529462455,0.8696060371517028,0.8550376613734755,0.8540531486315709,0.014615543881713497,27,0.8700452323462646,0.8636706432699912,0.873526793990906,0.8650529561701629,0.8671023024817157,0.8678795856518082,0.0035465528885625596
