Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1-Score,Generalisation Gap
Baseline MLP,0.9571,0.84,0.8419,0.84,0.8408,0.1171
Tuned MLP,0.8908,0.8417,0.8435,0.8417,0.8423,0.0492
