Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1-Score,Generalisation Gap
Baseline Logistic Regression,0.8875,0.8633,0.8638,0.8633,0.8635,0.0242
Tuned Logistic Regression,0.8883,0.86,0.8614,0.86,0.8605,0.0283
