mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0460014820098877,0.0038151960565388074,0.013187408447265625,0.006774062317578659,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8251032540236773,0.8266225461624288,0.8177253998799472,0.8468124692641837,0.8466226291998695,0.8325772597060214,0.011931560752917694,44,0.8822346026005683,0.8810616399715765,0.9002298766997173,0.8832647379954142,0.886658881424133,0.8866899477382819,0.00702268683328729
0.04987382888793945,0.005142006360152973,0.010857534408569337,0.001236835010568678,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8251032540236773,0.8266225461624288,0.8177253998799472,0.8468124692641837,0.8466226291998695,0.8325772597060214,0.011931560752917694,44,0.8817386987138413,0.8810616399715765,0.9002298766997173,0.8832647379954142,0.886658881424133,0.8865907669609363,0.0070881060131044215
0.04878764152526856,0.005183308201435306,0.010617256164550781,0.0015320286503975194,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8251032540236773,0.8266225461624288,0.8157872084809109,0.8448330830916644,0.8466226291998695,0.8317937441917103,0.011980261455750886,46,0.8817386987138413,0.8810616399715765,0.8992181046109319,0.8822685005390188,0.8851763286712359,0.8858926545013208,0.0068089541830149685
0.03353824615478516,0.021111130943272383,0.009717416763305665,0.002668122479482028,gini,5,1,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8251032540236773,0.8285615906247091,0.8157872084809109,0.8468124692641837,0.8487433891522156,0.8330015823091393,0.012782619945304422,42,0.8817386987138413,0.877048935776281,0.8986733510266691,0.8804855073510436,0.8831394196366046,0.884217182500888,0.007504590910221191
0.027476692199707033,0.0021639445084139976,0.00908198356628418,0.0014073705430151942,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8251032540236773,0.8266225461624288,0.8154139325157774,0.8468124692641837,0.8425398978635132,0.8312984199659162,0.011658622297534733,47,0.8817386987138413,0.8794789267885618,0.9002688599558437,0.8827091124535833,0.885606967071642,0.8859605129966944,0.007419704421722199
0.025071001052856444,0.003442924823346467,0.008039093017578125,0.0006436382616633433,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8251032540236773,0.8266225461624288,0.8154139325157774,0.8468124692641837,0.8425398978635132,0.8312984199659162,0.011658622297534733,47,0.8817386987138413,0.8794789267885618,0.9002688599558437,0.8827091124535833,0.885606967071642,0.8859605129966944,0.007419704421722199
0.021865129470825195,0.0011471028019517427,0.007234334945678711,0.0006288980676590006,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8251032540236773,0.8266225461624288,0.813478461125141,0.8448330830916644,0.8425398978635132,0.830515448453285,0.011698611193356486,49,0.8817386987138413,0.8794789267885618,0.8992566394640897,0.8817130823771575,0.8841247617208045,0.8852624218128909,0.007149764300444028
0.019286441802978515,0.002250671378636764,0.005392551422119141,0.0012391029324876881,gini,5,2,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8251032540236773,0.8328578978992984,0.813478461125141,0.8468124692641837,0.8446598607744421,0.8325823886173487,0.012404305173471162,43,0.8817386987138413,0.8754678821247552,0.8992566394640897,0.8799293199052731,0.8820860526974905,0.8836957185810899,0.008129529647919296
0.01793084144592285,0.0026784701911321744,0.004183530807495117,0.00033876469621050903,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8175890480982182,0.8227322735673651,0.813478461125141,0.8448330830916644,0.8446598607744421,0.8286585453313661,0.01345917672216014,57,0.885803205465434,0.8784274520250237,0.8965863356927232,0.8815975346624618,0.8831261587992782,0.8851081373289842,0.006214761194070306
0.015882205963134766,0.0016788004169739782,0.004580020904541016,0.001320690670024511,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8175890480982182,0.8227322735673651,0.813478461125141,0.8448330830916644,0.8446598607744421,0.8286585453313661,0.01345917672216014,57,0.885803205465434,0.8784274520250237,0.8965863356927232,0.8815975346624618,0.8831261587992782,0.8851081373289842,0.006214761194070306
